phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,posture,spine_angle,100.0,35.0,5.971933396226337,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,115,99.98483291361381
Address,address,grip,wrist_angle,100.0,10.0,172.64836284097504,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",115,99.98483291361381
Address,address,weight_distribution,stance_width_ratio,100.0,20.0,1.061237063982173,0.9,1.2,0.0,strength,0.0,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,115,99.98483291361381
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,172.58940250212734,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,145,99.9613348574077
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,5.523951458196336,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,145,99.9613348574077
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,174.49697359732625,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,145,99.9613348574077
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.041494687772851,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,145,99.9613348574077
Mid-backswing,mid_backswing,coil,x_factor,91.84071284563942,27.552213853691825,1.6736285138255766,2.0,14.0,-0.32637148617442335,strength,0.31821219902006276,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,151,97.47210411598834
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,177.79737646740742,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,151,97.47210411598834
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,170.5844556812536,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,151,97.47210411598834
