phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,87.28017174623372,17.456034349246746,1.2254396565075325,0.9,1.2,0.02543965650753255,minor,0.25439656507532565,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,166,96.08620669114886
Address,address,posture,spine_angle,100.0,35.0,-1.650775983778899,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,166,96.08620669114886
Address,address,grip,wrist_angle,100.0,10.0,176.2066566483565,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",166,96.08620669114886
Takeaway,takeaway,hip_lag,x_factor,72.39318627242426,36.19659313621213,0.4478637254484852,1.0,10.0,-0.5521362745515148,moderate,1.1042725491030296,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,186,86.19659313621213
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,179.48875502312222,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,186,86.19659313621213
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,178.108528821738,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,186,86.19659313621213
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.013299531753831324,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,186,86.19659313621213
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,50.0,10.0,138.5700460528326,155.0,180.0,-16.429953947167405,critical,1.3,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,190,85.79776692046174
Mid-backswing,mid_backswing,coil,x_factor,85.99255640153913,25.79776692046174,1.4397022560615653,2.0,14.0,-0.5602977439384347,minor,0.5462903003399738,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,190,85.79776692046174
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,179.79469617224038,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,190,85.79776692046174
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,177.4618462565506,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,190,85.79776692046174
Top,top,wrist_angle,wrist_angle,0.0,0.0,122.48969728827997,145.0,180.0,-22.51030271172003,critical,1.6,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,207,62.57629770535273
Top,top,posture,spine_angle,12.881488526763661,2.5762977053527325,-27.223702294647268,-8.0,12.0,-19.223702294647268,critical,1.3938961835717816,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,207,62.57629770535273
Top,top,coil,shoulder_rotation,100.0,35.0,177.10187371590035,170.0,185.0,0.0,strength,0.0,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,207,62.57629770535273
Top,top,stability,head_displacement,100.0,25.0,0.040833508109930264,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,207,62.57629770535273
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,33.33333333333333,4.999999999999999,,75.0,100.0,,critical,2.5,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,212,84.70463080100677
Mid-downswing,mid_downswing,upper_body_lag,x_factor,82.34876933668923,24.70463080100677,1.856967862542632,0.0,5.0,0.0,minor,1.3238422997483077,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,212,84.70463080100677
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,171.83468776701594,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,212,84.70463080100677
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,179.49078289682814,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,212,84.70463080100677
Impact,impact,arm_extension,lead_arm_angle,50.0,15.0,141.53643370025313,155.0,175.0,-13.463566299746873,critical,4.5,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,214,85.0
Impact,impact,lag_release,lag_angle,100.0,2.0,173.9303927997187,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,214,85.0
Impact,impact,x_factor_unwind,x_factor,100.0,45.0,1.7700356461333797,0.0,18.0,0.0,strength,0.0,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,214,85.0
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,173.9303927997187,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,214,85.0
Impact,impact,stability,head_displacement,100.0,13.0,0.01717050272900623,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",214,85.0
Follow-through,follow_through,deceleration,x_factor,50.0,5.0,2.132423593538647,10.0,20.0,-7.867576406461353,critical,0.25,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,216,95.0
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-13.306686931287661,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,216,95.0
Follow-through,follow_through,arm_swing,lead_arm_angle,100.0,30.0,170.62776822095427,160.0,175.0,0.0,strength,0.0,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,216,95.0
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,173.87991995347596,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,216,95.0
Finish,finish,symmetry,x_factor,0.0,0.0,143.36068667822994,0.0,6.0,137.36068667822994,critical,0.2,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,250,80.0
Finish,finish,balance,head_displacement,100.0,35.0,0.1329153125210139,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,250,80.0
Finish,finish,posture,spine_angle,100.0,25.0,5.801924947834998,-10.0,12.0,0.0,strength,0.0,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,250,80.0
Finish,finish,rotation,hip_rotation,100.0,20.0,165.43237022387393,160.0,175.0,0.0,strength,0.0,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,250,80.0
