phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,50.0,10.0,1.4431237056783495,0.9,1.2,0.2431237056783495,critical,1.0,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,199,84.61538461538463
Address,address,posture,spine_angle,100.0,35.0,8.103652222744302,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,199,84.61538461538463
Address,address,grip,wrist_angle,100.0,10.0,163.25961613108075,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",199,84.61538461538463
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,171.66153206912725,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,211,100.0
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,6.221516461298847,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,211,100.0
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,179.18512784101762,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,211,100.0
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.014406347162134887,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,211,100.0
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,4.59612277811388,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,216,100.0
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,172.2911426791793,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,216,100.0
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,169.71619834211853,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,216,100.0
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,100.0,20.0,163.3359121501288,155.0,180.0,0.0,strength,0.0,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,216,100.0
Top,top,posture,spine_angle,77.6277903933089,15.525558078661781,-13.369330305605862,-8.0,12.0,-5.369330305605862,minor,0.35795535370705767,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,236,95.52555807866179
Top,top,coil,shoulder_rotation,100.0,35.0,175.3735276744772,170.0,185.0,0.0,strength,0.0,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,236,95.52555807866179
Top,top,stability,head_displacement,100.0,25.0,0.02473434480183462,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,236,95.52555807866179
Top,top,wrist_angle,wrist_angle,100.0,20.0,168.49439955119578,145.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,236,95.52555807866179
Mid-downswing,mid_downswing,upper_body_lag,x_factor,75.0,22.5,0.32861430071102404,0.0,5.0,0.0,minor,1.875,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,238,87.5
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,66.66666666666666,9.999999999999998,,75.0,100.0,,moderate,1.2500000000000002,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,238,87.5
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,171.32370299611665,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,238,87.5
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,179.20220207963706,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,238,87.5
Impact,impact,arm_extension,lead_arm_angle,50.0,15.0,105.10808698062624,155.0,175.0,-49.89191301937376,critical,4.5,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,240,85.0
Impact,impact,lag_release,lag_angle,100.0,2.0,170.1902684528522,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,240,85.0
Impact,impact,x_factor_unwind,x_factor,100.0,45.0,2.992065559494762,0.0,18.0,0.0,strength,0.0,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,240,85.0
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,170.1902684528522,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,240,85.0
Impact,impact,stability,head_displacement,100.0,13.0,0.03280202807493707,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",240,85.0
