phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,posture,spine_angle,93.29097011853801,32.6518395414883,12.0127089644386,-5.0,10.0,2.0127089644386,strength,0.23481604585116955,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,51,96.03022229731106
Address,address,weight_distribution,stance_width_ratio,98.83902475881936,19.767804951763875,1.2023219504823612,0.9,1.2,0.002321950482361279,strength,0.02321950482361274,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,51,96.03022229731106
Address,address,grip,wrist_angle,100.0,10.0,163.91470281945524,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",51,96.03022229731106
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,174.9145265997104,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,74,100.0
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,2.0792805020763296,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,74,100.0
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,175.78263476803465,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,74,100.0
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.012231656378634175,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,74,100.0
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,50.0,12.5,147.0634836524247,150.0,180.0,-2.9365163475752922,critical,0.625,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,81,87.5
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,5.190549747296785,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,81,87.5
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,172.62191366101052,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,81,87.5
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,100.0,20.0,159.18179335760715,155.0,180.0,0.0,strength,0.0,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,81,87.5
Top,top,coil,shoulder_rotation,0.0,0.0,14.03912968647102,170.0,185.0,-155.96087031352897,critical,2.8,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,94,45.0
Top,top,wrist_angle,wrist_angle,0.0,0.0,124.53164180260413,145.0,180.0,-20.468358197395872,critical,1.6,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,94,45.0
Top,top,posture,spine_angle,100.0,20.0,7.418553532114365,-8.0,12.0,0.0,strength,0.0,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,94,45.0
Top,top,stability,head_displacement,100.0,25.0,0.03173570134428089,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,94,45.0
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,66.66666666666666,9.999999999999998,,75.0,100.0,,moderate,1.2500000000000002,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,98,95.0
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,177.33238131553594,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,98,95.0
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,175.41589072684692,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,98,95.0
Mid-downswing,mid_downswing,upper_body_lag,x_factor,100.0,30.0,1.9153588489381832,0.0,5.0,0.0,strength,0.0,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,98,95.0
Impact,impact,lag_release,lag_angle,100.0,2.0,173.32994015871003,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,101,100.0
Impact,impact,x_factor_unwind,x_factor,100.0,45.0,11.817697964124022,0.0,18.0,0.0,strength,0.0,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,101,100.0
Impact,impact,arm_extension,lead_arm_angle,100.0,30.0,169.5668473963653,155.0,175.0,0.0,strength,0.0,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,101,100.0
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,173.32994015871003,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,101,100.0
Impact,impact,stability,head_displacement,100.0,13.0,0.02493260372412427,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",101,100.0
Follow-through,follow_through,deceleration,x_factor,50.0,5.0,7.407780458550377,10.0,20.0,-2.592219541449623,critical,0.5,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,103,95.0
