phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,50.0,10.0,1.5874768353591242,0.9,1.2,0.38747683535912425,critical,1.0,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,12,84.61538461538463
Address,address,posture,spine_angle,100.0,35.0,-3.6631453413141837,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,12,84.61538461538463
Address,address,grip,wrist_angle,100.0,10.0,178.8121973143075,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",12,84.61538461538463
Takeaway,takeaway,hip_lag,x_factor,53.76298145810523,26.881490729052615,0.0752596291621046,1.0,10.0,-0.9247403708378954,critical,1.8494807416757908,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,35,76.88149072905262
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,177.7285979059224,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,35,76.88149072905262
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,179.22880056141682,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,35,76.88149072905262
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.01607922039332943,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,35,76.88149072905262
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,50.0,12.5,146.29774399710553,150.0,180.0,-3.7022560028944724,critical,0.625,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,43,77.5
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,50.0,10.0,146.22004046818316,155.0,180.0,-8.779959531816843,critical,0.5,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,43,77.5
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,7.472237473076973,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,43,77.5
