phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,46.84553192205229,14.522114895836209,0.369106384410457,0.9,1.2,-0.530893615589543,critical,1.647788510416379,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,93,82.97400123513347
Address,address,posture,spine_angle,99.0,53.46,10.253057133361969,-5.0,10.0,0.25305713336196867,strength,0.054000000000000006,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,93,82.97400123513347
Address,address,grip,wrist_angle,100.0,15.0,174.16920408912492,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",93,82.97400123513347
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,171.85987887793647,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,118,99.96638889278478
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,8.086134975348273,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,118,99.96638889278478
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,177.66405900154763,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,118,99.96638889278478
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.03679220863965756,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,118,99.96638889278478
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,7.348576009327644,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,124,99.94638479110588
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,172.650934996585,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,124,99.94638479110588
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,168.61445623582918,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,124,99.94638479110588
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,100.0,20.0,159.63952732262806,155.0,180.0,0.0,strength,0.0,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,124,99.94638479110588
Top,top,coil,shoulder_rotation,50.0,17.5,178.3669614279106,170.0,185.0,0.0,critical,1.4,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,139,78.41892125432128
Top,top,posture,spine_angle,79.69249016183261,15.938498032366523,-12.873802361160175,-8.0,12.0,-4.873802361160175,minor,0.3249201574106783,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,139,78.41892125432128
Top,top,stability,head_displacement,100.0,25.0,0.054217529469788056,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,139,78.41892125432128
Top,top,wrist_angle,wrist_angle,100.0,20.0,166.60388702032353,130.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,139,78.41892125432128
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,16.666666666666664,2.4999999999999996,,75.0,100.0,,critical,3.1250000000000004,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,144,87.5
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,172.07956521717756,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,144,87.5
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,177.6009964479316,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,144,87.5
Mid-downswing,mid_downswing,upper_body_lag,x_factor,100.0,30.0,4.693302378615471,0.0,5.0,0.0,strength,0.0,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,144,87.5
Impact,impact,arm_extension,lead_arm_angle,50.0,15.0,146.67354128473704,155.0,175.0,-8.326458715262959,critical,4.5,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,146,85.0
Impact,impact,lag_release,lag_angle,100.0,1.0,166.99474852043417,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,146,85.0
Impact,impact,x_factor_unwind,x_factor,100.0,45.0,9.933742831921819,0.0,18.0,0.0,strength,0.0,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,146,85.0
Impact,impact,wrist_angle,wrist_angle,100.0,11.0,166.99474852043417,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,146,85.0
Impact,impact,stability,head_displacement,100.0,13.0,0.04541194799729367,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",146,85.0
Follow-through,follow_through,arm_swing,lead_arm_angle,50.0,15.0,101.85690616373189,160.0,175.0,-58.14309383626811,critical,0.75,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,149,84.85013396710416
Follow-through,follow_through,deceleration,x_factor,100.0,10.0,14.271019967083731,10.0,20.0,0.0,strength,0.0,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,149,84.85013396710416
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-17.4809846696763,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,149,84.85013396710416
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,176.84348865005842,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,149,84.85013396710416
Finish,finish,rotation,hip_rotation,97.05240739275283,19.410481478550565,175.58951852144943,160.0,175.0,0.5895185214494347,strength,0.0058951852144943475,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,160,99.37203414713879
Finish,finish,balance,head_displacement,100.0,35.0,0.07045534008823061,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,160,99.37203414713879
