phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,50.0,10.0,1.4949643055103279,0.9,1.2,0.29496430551032793,critical,1.0,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,185,80.69997365166057
Address,address,posture,spine_angle,92.72852249594106,32.45498287357937,-7.181443251217679,-5.0,10.0,-2.1814432512176793,strength,0.2545017126420628,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,185,80.69997365166057
Address,address,grip,wrist_angle,100.0,10.0,162.19583513779813,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",185,80.69997365166057
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,177.86085761274865,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,199,100.0
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,1.81844212663475,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,199,100.0
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,176.24822962393006,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,199,100.0
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.021205669232609713,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,199,100.0
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,50.0,10.0,141.04588911919714,155.0,180.0,-13.954110880802858,critical,0.5,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,202,90.0
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,2.689330453391534,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,202,90.0
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,179.99973024448335,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,202,90.0
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,166.8539801895915,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,202,90.0
Top,top,posture,spine_angle,78.44383331159341,15.688766662318683,-13.173480005217582,-8.0,12.0,-5.1734800052175824,minor,0.3448986670145055,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,211,95.68876666231868
Top,top,coil,shoulder_rotation,100.0,35.0,172.41174603582962,170.0,185.0,0.0,strength,0.0,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,211,95.68876666231868
Top,top,stability,head_displacement,100.0,25.0,0.03258200157672022,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,211,95.68876666231868
Top,top,wrist_angle,wrist_angle,100.0,20.0,179.23628941480106,145.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,211,95.68876666231868
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,16.666666666666664,2.4999999999999996,,75.0,100.0,,critical,3.1250000000000004,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,216,80.0
Mid-downswing,mid_downswing,upper_body_lag,x_factor,75.0,22.5,10.72171711409058,0.0,5.0,5.7217171140905805,minor,1.875,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,216,80.0
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,171.62504026727055,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,216,80.0
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,174.2207808102631,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,216,80.0
Impact,impact,x_factor_unwind,x_factor,41.813969576662174,18.81628630949798,21.437206084667565,0.0,18.0,3.437206084667565,critical,7.855114107150607,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,218,73.81628630949798
Impact,impact,lag_release,lag_angle,100.0,2.0,179.07241626310935,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,218,73.81628630949798
Impact,impact,arm_extension,lead_arm_angle,100.0,30.0,159.26189776877123,155.0,175.0,0.0,strength,0.0,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,218,73.81628630949798
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,179.07241626310935,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,218,73.81628630949798
Impact,impact,stability,head_displacement,100.0,13.0,0.021132945609778325,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",218,73.81628630949798
Follow-through,follow_through,arm_swing,lead_arm_angle,53.30572147605807,15.99171644281742,179.6694278523942,160.0,175.0,4.669427852394193,critical,1.400828355718258,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,219,79.47566790579296
Follow-through,follow_through,deceleration,x_factor,34.83951462975534,3.4839514629755346,22.83209707404893,10.0,20.0,2.8320970740489315,critical,0.6516048537024467,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,219,79.47566790579296
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-15.664349374969698,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,219,79.47566790579296
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,169.69479901787457,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,219,79.47566790579296
Finish,finish,symmetry,x_factor,50.0,10.0,6.545687466681272,0.0,6.0,0.5456874666812723,critical,0.4,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,231,90.0
Finish,finish,balance,head_displacement,100.0,35.0,0.1001211016008746,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,231,90.0
Finish,finish,posture,spine_angle,100.0,25.0,-5.888012335613439,-10.0,12.0,0.0,strength,0.0,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,231,90.0
Finish,finish,rotation,hip_rotation,100.0,20.0,167.1294881546235,160.0,175.0,0.0,strength,0.0,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,231,90.0
