phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,66.80615748130349,13.361231496260698,1.266387685037393,0.9,1.2,0.06638768503739301,moderate,0.6638768503739304,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,151,89.78650999424724
Address,address,posture,spine_angle,100.0,35.0,0.5859107220174036,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,151,89.78650999424724
Address,address,grip,wrist_angle,100.0,10.0,168.52960920729032,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",151,89.78650999424724
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,175.5769646130935,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,162,100.0
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,3.8453718441814146,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,162,100.0
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,178.84601120790305,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,162,100.0
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.026222608536379904,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,162,100.0
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,50.0,10.0,154.84862236604812,155.0,180.0,-0.1513776339518813,critical,0.5,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,167,90.0
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,3.5941239571024823,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,167,90.0
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,173.77817285441273,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,167,90.0
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,170.90534883073573,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,167,90.0
Top,top,coil,shoulder_rotation,50.0,17.5,169.9725569119135,170.0,185.0,-0.027443088086499756,critical,1.4,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,185,71.9547280976414
Top,top,posture,spine_angle,47.273640488206944,9.45472809764139,-20.34527190235861,-8.0,12.0,-12.345271902358611,critical,0.8436217521886888,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,185,71.9547280976414
Top,top,stability,head_displacement,100.0,25.0,0.04775413506296488,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,185,71.9547280976414
Top,top,wrist_angle,wrist_angle,100.0,20.0,150.2063802819173,145.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,185,71.9547280976414
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,50.0,7.5,,75.0,100.0,,critical,1.875,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,190,92.5
