phase,feedback,phase_score,key_frame
Address,Address: trail elbow angle deviates from benchmark; prioritize correcting this checkpoint,68.3,137
Takeaway,Takeaway: stance width ratio deviates from benchmark; prioritize correcting this checkpoint,56.7,158
Mid-backswing,Mid-backswing: lead knee flex is the largest measurable deviation in this phase,67.9,165
Mid-backswing,Mid-backswing: trail elbow angle is the largest measurable deviation in this phase,67.9,165
Top,Top: lag angle is the largest measurable deviation in this phase,81.8,182
Top,Top: wrist hinge is the largest measurable deviation in this phase,81.8,182
Mid-downswing,Mid-downswing: shoulder width is the largest measurable deviation in this phase,68.3,186
Mid-downswing,Mid-downswing: arm extension is the largest measurable deviation in this phase,68.3,186
Impact,Hip rotation low at impact position,67.1,189
Follow-through,Follow-through: trail elbow angle is the largest measurable deviation in this phase,56.1,190
Follow-through,Follow-through: stance width is the largest measurable deviation in this phase,56.1,190
Finish,"Finish: phase score is below target; review posture, rotation, and balance checkpoints",61.5,220
