phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,posture,spine_angle,0.0,0.0,52.12183785147592,-5.0,10.0,42.12183785147592,critical,3.5,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,51,20.709391663890695
Address,address,weight_distribution,stance_width_ratio,17.305522907644747,3.4611045815289496,8.83889541847105,0.9,1.2,7.6388954184710505,critical,1.6538895418471053,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,51,20.709391663890695
Address,address,grip,wrist_angle,100.0,10.0,163.78451892786015,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",51,20.709391663890695
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,170.02030572636266,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,71,100.0
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,5.008617814186692,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,71,100.0
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,167.91701689457798,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,71,100.0
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.012192774090914796,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,71,100.0
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,50.0,12.5,153.9757642314517,170.0,185.0,-16.024235768548294,critical,0.625,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,82,77.5
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,50.0,10.0,131.76595987868805,155.0,180.0,-23.23404012131195,critical,0.5,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,82,77.5
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,13.405673665664011,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,82,77.5
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,161.8773373944964,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,82,77.5
Top,top,posture,spine_angle,0.0,0.0,45.20275998616777,-8.0,12.0,33.20275998616777,critical,1.6,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,96,62.5
Top,top,coil,shoulder_rotation,50.0,17.5,161.39579224645223,170.0,185.0,-8.604207753547769,critical,1.4,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,96,62.5
Top,top,stability,head_displacement,100.0,25.0,0.01900632281685651,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,96,62.5
Top,top,wrist_angle,wrist_angle,100.0,20.0,162.1314654571119,145.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,96,62.5
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,50.0,25.0,168.36751108506198,170.0,185.0,-1.6324889149380226,critical,6.25,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,100,57.5
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,50.0,7.5,,75.0,100.0,,critical,1.875,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,100,57.5
Mid-downswing,mid_downswing,upper_body_lag,x_factor,75.0,22.5,1.0279551640537647,0.0,5.0,0.0,minor,1.875,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,100,57.5
