phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,posture,spine_angle,94.33027958992149,33.01559785647252,-6.700916123023555,-5.0,10.0,-1.7009161230235552,strength,0.1984402143527479,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,47,96.93858825526222
Address,address,grip,wrist_angle,100.0,10.0,166.842544171586,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",47,96.93858825526222
Address,address,weight_distribution,stance_width_ratio,100.0,20.0,1.0978352979800161,0.9,1.2,0.0,strength,0.0,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,47,96.93858825526222
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,173.4152953375939,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,61,99.82532057537131
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,5.287272635887149,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,61,99.82532057537131
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,178.20605805254436,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,61,99.82532057537131
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.019475496665064543,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,61,99.82532057537131
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,50.0,10.0,141.40700048487997,155.0,180.0,-13.592999515120027,critical,1.3,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,65,89.93957520291892
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,2.748706817479359,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,65,89.93957520291892
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,175.12303669646658,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,65,89.93957520291892
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,169.92753848818867,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,65,89.93957520291892
Top,top,coil,shoulder_rotation,56.065766156388015,19.623018154735803,179.7615271537166,170.0,185.0,0.0,critical,1.2301585476211356,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,75,64.02701744770089
Top,top,posture,spine_angle,47.16369353041676,9.432738706083352,-20.36726129391665,-8.0,12.0,-12.367261293916648,critical,0.8453809035133318,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,75,64.02701744770089
Top,top,wrist_angle,wrist_angle,50.0,10.0,128.92964630245132,130.0,180.0,-1.0703536975486827,critical,0.8,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,75,64.02701744770089
Top,top,stability,head_displacement,100.0,25.0,0.0685058607245849,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,75,64.02701744770089
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,50.0,7.5,,75.0,100.0,,critical,1.875,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,80,89.95884528028827
Mid-downswing,mid_downswing,upper_body_lag,x_factor,91.52948426762755,27.458845280288266,2.4905726635525696,0.0,5.0,0.0,strength,0.6352886799279336,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,80,89.95884528028827
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,166.44582975966938,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,80,89.95884528028827
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,178.7923695825596,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,80,89.95884528028827
Impact,impact,x_factor_unwind,x_factor,0.8796130417286463,0.39582586877789083,2.8690432944530357,0.0,18.0,0.0,critical,13.381252239366633,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,84,36.27975124111127
Impact,impact,lag_release,lag_angle,100.0,2.0,172.6853956443103,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,84,36.27975124111127
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,172.6853956443103,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,84,36.27975124111127
Impact,impact,stability,head_displacement,100.0,13.0,0.02194483217019425,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",84,36.27975124111127
Follow-through,follow_through,deceleration,x_factor,50.0,5.0,6.718016423902185,10.0,20.0,-3.281983576097815,critical,0.25,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,86,94.93616338441815
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-13.406358891488942,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,86,94.93616338441815
Follow-through,follow_through,arm_swing,lead_arm_angle,100.0,30.0,171.10897244356465,160.0,175.0,0.0,strength,0.0,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,86,94.93616338441815
