phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,50.0,10.0,1.3884361569443124,0.9,1.2,0.18843615694431248,critical,1.0,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,3,84.61218355607942
Address,address,posture,spine_angle,100.0,35.0,2.105540399368172,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,3,84.61218355607942
Address,address,grip,wrist_angle,100.0,10.0,177.76534568814475,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",3,84.61218355607942
Takeaway,takeaway,hip_lag,x_factor,68.7799868948872,34.3899934474436,0.37559973789774403,1.0,10.0,-0.624400262102256,moderate,1.248800524204512,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,31,84.35622815522953
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,178.1527512953001,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,31,84.35622815522953
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,179.74799964730903,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,31,84.35622815522953
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.019739280231684808,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,31,84.35622815522953
Mid-backswing,mid_backswing,coil,x_factor,90.35144794110153,27.105434382330458,1.614057917644061,2.0,14.0,-0.38594208235593896,strength,0.3762935302970405,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,36,97.08816931480267
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,177.2683966470368,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,36,97.08816931480267
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,161.91995866730153,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,36,97.08816931480267
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,100.0,20.0,161.7899242622791,155.0,180.0,0.0,strength,0.0,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,36,97.08816931480267
Top,top,wrist_angle,wrist_angle,50.0,10.0,126.62937729136696,130.0,180.0,-3.370622708633036,critical,0.8,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,58,88.27330489830835
Top,top,posture,spine_angle,91.44206421828184,18.28841284365637,-10.053904587612358,-8.0,12.0,-2.053904587612358,strength,0.13692697250749053,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,58,88.27330489830835
Top,top,coil,shoulder_rotation,100.0,35.0,176.31033055015018,170.0,185.0,0.0,strength,0.0,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,58,88.27330489830835
Top,top,stability,head_displacement,100.0,25.0,0.0705218859977951,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,58,88.27330489830835
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,83.33333333333334,12.500000000000002,,75.0,100.0,,minor,0.6249999999999997,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,62,97.5
